row_id,result
22,Nebulosa Celestiale alla Stellaris,Galassia di Sapori Eterei,Sinfonia dell'Universo Morente,Piastrella Celestiale di Gnocchi del Crepuscolo,Sinfonia Celeste di Granuli Arcobaleno e Riso di Cassandra,Nebulosa Galattica,Galassie Riflesse: Sinfonia del Multiverso,Nebulosa Eterna
23,
24,
25,
26,
27,La Mucca Che Stordisce l'Universo,Tris di Carne con Pane,Luce e Ombra di Nomea Spaziale,Verso l'Inedito Oltre
28,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Galassia Suprema,Risveglio Cosmico: Una Sinfonia di Sapori Universali,Fusione Celeste
29,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,Antipasto Celestiale,Sinfonia Cosmica di Proteine Interstellari,Nebulosa Galattica,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali
30,Sinfonia di Galassie Riflesse,Rintocchi del Cosmo,Nebulosa di Fenice con Sinfonia Eterea,Cosmic Rhapsody
31,
32,Sinfonia Cosmica alla Szechuan,Nebulosa Celestiale di Sogni Quantici,Il Ricordo del Fuoco Celeste,Sinfonia di Crepuscolo Celestiale
33,Portale delle Stelle
34,
35,
36,Galassia di Sapore Quantum
37,Pizza Baby Daniele
38,Portale delle Stelle,Rivelazione del Multiverso,Galassia di Sapori Interstellari
39,L'Eternità al Crepuscolo,Nebulosa di Confini Sfondati
40,Pizza Cri,Pizza Baby Daniele
41,Serenata del Multiverso
42,Rinascita Cosmica
43,Sinfonia Cosmica del Multiverso,Evanescenza Quantica,Mycoflora con Polvere di Stelle Sbagliato,Il Rapsodo Celestiale,Galassia a Tavola,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Sinfonia Cosmica di Sapore,Sinfonia Celestiale di Echi Galattici
44,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Pizza Fra
45,
46,Pioggia di Andromeda,Echi del Cosmo,Rivelazione del Multiverso,Sinfonia Cosmica di Armonie Terrestri e Celesti,Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali
47,
48,
49,Una Mucca e una Balena nella Singolarità,Fusione Celeste,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Portale di Sapori Arcani,Sinfonia Cosmica di Terre e Stelle
50,Sinfonia Cosmica di Terre e Stelle,Sinfonia del Cosmo e della Leggenda,Pane e Carne Rivisitato,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Risotto Cosmico alla Draconia,Sinfonia Cosmica: La Danza dell'Universo
51,Cosmos in Tavola,Il Viaggio Cosmico di Marinetti
52,Cosmos Culinary Symphony
53,Sinfonia dell'Universo Morente
54,Nebulosa di Confini Sfondati,Galassia Ardente,Falso Risotto dell'Infinito Multiverso,Nebulosa di Sapori dell'Infinito
55,Portale delle Stelle,Stellar Fusion,Galassia di Sapori,Sinfonia Cosmica della Rinascita,Rivelazione del Multiverso,Galassia Aurorale,Galassia di Sapori Interstellari
56,Universo in Un Boccone,Eterea Sinfonia di Gravità con Infusione Temporale,Galassia Speculare,Nebulosa Celestiale di Sogni Quantici,La Creazione di Nova
57,
58,Galassie Infiammate,Galassia di Sapore Quantico,Interstellare Risveglio di Kraken,Sinfonia Quantistica dell'Universo,Sinfonia Quantistica delle Stelle,Cosmos Quantum Fusion,Sinfonia Astrale,Ecosistema Celeste,Portale Astrale di Sapori,Nebulosa di Sapori dell'Infinito,Melodia del Multiverso Parallelo,Galassia di Sapore Quantum
59,
60,
61,Mycoflora con Polvere di Stelle Sbagliato,Galassia di Sapori: Il Viaggio Senza Tempo,Il Rapsodo Celestiale,Tris di Verdure con Xenodonte,Nebulosa di Sapori dell'Infinito,Bistecca Cacofonica dell'Infinito,Rinascita Cosmica,Falso Risotto dell'Infinito Multiverso,Sinfonia dell'Infinito: Un Viaggio Gnodale tra Terra e Universi,Evanescenza Cosmica,Entropia Eterna,Sinfonia Interstellare di Fusilli del Vento con Nettare di Sirena,Eclissi Quantica: Viaggio nei Reami del Gusto
62,
63,Portale delle Stelle,Sinfonia Cosmica in Otto Movimenti
64,
65,Galassia Aurorale,Galassia di Sapori Interstellari,Cosmic Rhapsody,Galassia a Tavola
66,Fenice sull'Orizzonte degli Eventi,Risotto Cosmico Multiversale,Tris di Verdure con Xenodonte,Sinfonia Cosmica di Terre e Stelle,Risotto Cosmico alla Draconia,Plasma Celestiale al Risotto di Kraken nell'Aura del Sole,Portale Cosmico del Kraken,Portale di Sapori Arcani,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico
67,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice
68,
69,
70,
71,
72,
73,
74,
75,Galassia di Sapore Quantico,Interstellare Risveglio di Kraken,Nebulosa Celestiale di Sogni Quantici,Sinfonia Cosmica di Sapore,Ecosistema Celeste,Sinfonia Celeste dell'Equilibrio Temporale
76,
77,
78,
79,Una Mucca e una Balena nella Singolarità
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,Interstellare Risveglio di Kraken,Galassia di Sapori Sublimi,Cosmos Quantum Fusion,Sogni di Abisso Cosmico,Portale delle Stelle,Stellar Fusion,Rivelazione del Multiverso,Sinfonia Temporale nello Spaghi del Sole,Cosmopolis delle Galassie Perdute,Cosmic Rhapsody,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali,Bistecca Cacofonica dell'Infinito,Nebulosa di Fenice con Sinfonia Eterea,Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali,Sinfonia Temporale al Tocco di Crono,Sfogliare Galattico di Sogni Temporali,Sinfonia di Stagioni Stellari,Sinfonia di Crepuscolo Celestiale,Galassia Risvegliata,Sinfonia Tempolare Galattica
95,
96,
97,
98,
99,
100,Galassia Commovente di Stellari,Antipasto Celestiale,Viaggio Cosmico tra Mare e Stelle,Galassia a Tavola,Porta Celestiale alle Stelle,Sinfonia Cosmica di Sapori,Cosmo Sferico di Sogni Rigenerativi
