row_id,result
22,Nebulosa Celestiale alla Stellaris,Galassia di Sapori Eterei,Sinfonia dell'Universo Morente,Piastrella Celestiale di Gnocchi del Crepuscolo,Sinfonia Celeste di Granuli Arcobaleno e Riso di Cassandra,Nebulosa Galattica,Galassie Riflesse: Sinfonia del Multiverso,Nebulosa Eterna
23,Sinfonia Cosmica di Proteine Interstellari,Entropia Eterna,Sinfonia Celestiale di Echi Galattici
24,
25,
26,Sinfonia Cosmica della Rinascita,Sinfonia degli Elementi Eterni,Cosmo Sferico di Sogni Rigenerativi,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Nebulae Di-Cedri Risvegliati
27,La Mucca Che Stordisce l'Universo,Tris di Carne con Pane,Verso l'Inedito Oltre
28,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Galassia Suprema,Sinfonia Celeste dell'Equilibrio Temporale,Risveglio Cosmico: Una Sinfonia di Sapori Universali
29,
30,Evanescenza Cosmica,Sinfonia di Galassie Riflesse,Eterea Sinfonia di Gravità con Infusione Temporale
31,
32,Sinfonia Cosmica alla Szechuan,Sinfonia Galattica ai Cristalli di Nebulite,Nebulosa Celestiale di Sogni Quantici,Il Ricordo del Fuoco Celeste,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali
33,Portale delle Stelle
34,
35,
36,Galassia di Sapore Quantum
37,Falso Risotto dell'Infinito Multiverso,Pizza Baby Daniele
38,Portale delle Stelle,Galassia di Sapori,Rivelazione del Multiverso
39,L'Eternità al Crepuscolo
40,Pizza Cri
41,Serenata del Multiverso
42,
43,Sinfonia Cosmica del Multiverso,Sinfonia Celestiale di Gnocchi del Crepuscolo,Ecosistema Celeste,Mycoflora con Polvere di Stelle Sbagliato,Il Rapsodo Celestiale,Galassia a Tavola,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Sinfonia Cosmica di Sapore,Galassia Suprema,Sinfonia Celestiale di Echi Galattici
44,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Porta Celestiale alle Stelle
45,Sinfonia Temporale nello Spaghi del Sole
46,Pioggia di Andromeda,Echi del Cosmo,Rivelazione del Multiverso,Sinfonia Cosmica di Armonie Terrestri e Celesti,Viaggio dei Sensi: Bolla Temporale di Aromi Ancestrali
47,Sinfonia del Cosmo Rigenerante,Universo in Fluttuazione,Galassia di Celestial Delight,Porta Celestiale alle Stelle,Sinfonia Temporale al Tocco di Crono
48,
49,Una Mucca e una Balena nella Singolarità,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Lumière Cosmica,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Risotto Cosmico alla Draconia,Portale Cosmico del Kraken,Portale di Sapori Arcani,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico,Sinfonia Cosmica di Terre e Stelle
50,Sinfonia del Cosmo e della Leggenda,Risotto Cosmico Multiversale,Plasma Celestiale al Risotto di Kraken nell'Aura del Sole,Il Risveglio del Multiverso,Pane e Carne Rivisitato,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Lumière Cosmica,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Risotto Cosmico alla Draconia,Portale Cosmico del Kraken,Portale di Sapori Arcani,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico,Sinfonia Cosmica di Terre e Stelle
51,
52,
53,Sinfonia dell'Universo Morente
54,Galassia di Cosmo-Delizie,Sassi e Sassolini,L'Eternità al Crepuscolo,Nebulosa di Confini Sfondati,Galassia Ardente
55,Portale delle Stelle,Stellar Fusion,Galassia di Sapori,Sinfonia Cosmica della Rinascita,Rivelazione del Multiverso,Galassia Aurorale,Galassia di Sapori Interstellari,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali,Interstellar Requiem
56,Universo in Un Boccone,Eterea Sinfonia di Gravità con Infusione Temporale,Galassia Speculare,Nebulosa Celestiale di Sogni Quantici,Ecosistema Celeste,La Creazione di Nova
57,
58,
59,
60,
61,Mycoflora con Polvere di Stelle Sbagliato,Il Rapsodo Celestiale,Nebulosa di Sapori dell'Infinito
62,
63,Sinfonia Cosmica in Otto Movimenti,Sinfonia Cosmica: Versione Data,Interstellar Requiem
64,
65,Galassia Aurorale,Galassia di Sapori Interstellari
66,Risotto Cosmico Multiversale,Sinfonia del Cosmo e della Leggenda,Più-dimensionale Sinfonia di Sapori: La Carne del Cosmo,Alternate Realities Risotto,Cosmos Quantum Fusion,Il Risveglio del Multiverso,Pane e Carne Rivisitato,Una Mucca e una Balena nella Singolarità,Fenice sull'Orizzonte degli Eventi,L'Ascensione Siderale,Lumière Cosmica,Quadrifonia Cosmica: Sinfonia di Sapori e Dimensioni,Risotto Cosmico alla Draconia,Portale Cosmico del Kraken,Portale di Sapori Arcani,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico,Sinfonia Cosmica di Terre e Stelle
67,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
