row_id,result
66,Fenice sull'Orizzonte degli Eventi,Risotto Cosmico Multiversale,Tris di Verdure con Xenodonte,Sinfonia Cosmica di Terre e Stelle,Risotto Cosmico alla Draconia,Plasma Celestiale al Risotto di Kraken nell'Aura del Sole,Portale Cosmico del Kraken,Risveglio Cosmico: Un Viaggio nel Sapore Quantistico
67,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice
68,
69,Sinfonia Galattica alla Griglia Cangiante,Sinfonia Multiversale in Otto Movimenti,Cosmic Synchrony: Il Destino di Pulsar,Nebulosa Eterna
70,
71,
72,
73,
74,
75,Galassia di Sapore Quantico,Interstellare Risveglio di Kraken,Nebulosa Celestiale di Sogni Quantici,Sinfonia Cosmica di Sapore,Ecosistema Celeste,Sinfonia Celeste dell'Equilibrio Temporale
76,
77,
78,
79,Una Mucca e una Balena nella Singolarità
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,Interstellare Risveglio di Kraken,Sinfonia del Multiverso di Gusto,Sinfonia Temporale Galattica,Universo in Fluttuazione,Sogni di Abisso Cosmico,Portale delle Stelle,Stellar Fusion,Rivelazione del Multiverso,Galassia di Sapori Interstellari,Sinfonia Temporale nello Spaghi del Sole,Cosmopolis delle Galassie Perdute,Sfogliare Galattico di Sogni Temporali,Sinfonia di Stagioni Stellari,Sinfonia di Crepuscolo Celestiale,Galassia Risvegliata,Sinfonia Tempolare Galattica
94,
95,
96,
97,
98,
99,
100,Galassia Commovente di Stellari,Antipasto Celestiale,Galassia a Tavola,Porta Celestiale alle Stelle
